tempo_s,posicao_x_px,posicao_y_px
18.46203830377609,984,892
18.49536328266377,1009,896
18.528688261551455,1039,900
18.562013240439136,1071,905
18.59533821932682,1109,910
18.6286631982145,1149,913
18.661988177102184,1191,916
18.695313155989865,1236,918
18.72863813487755,1281,919
18.76196311376523,1325,919
18.795288092652914,1370,917
18.828613071540598,1412,914
18.86193805042828,1452,911
18.895263029315963,1489,907
18.928588008203644,1522,903
18.961912987091328,1551,898
18.99523796597901,1575,894
19.028562944866692,1594,891
19.061887923754373,1608,888
19.095212902642057,1615,887
19.128537881529738,1617,886
19.161862860417422,1612,887
19.195187839305103,1602,889
19.228512818192787,1585,893
19.261837797080467,1564,896
19.29516277596815,1537,901
19.328487754855832,1506,905
19.361812733743516,1470,909
19.3951377126312,1431,913
19.42846269151888,1390,916
19.461787670406565,1346,918
19.495112649294246,1302,919
19.52843762818193,1257,919
19.56176260706961,1213,917
19.595087585957295,1169,915
19.628412564844975,1129,912
19.66173754373266,1090,907
19.69506252262034,1056,902
19.728387501508024,1025,898
19.761712480395705,998,893
19.79503745928339,976,889
19.82836243817107,959,885
19.861687417058754,947,883
19.895012395946434,941,884
19.92833737483412,940,884
19.9616623537218,944,885
19.994987332609483,954,887
20.028312311497167,969,887
20.061637290384848,990,891
20.094962269272532,1015,896
20.128287248160213,1045,901
20.161612227047897,1078,906
20.194937205935577,1115,910
20.22826218482326,1155,914
20.261587163710942,1198,917
20.294912142598626,1242,919
20.328237121486307,1287,919
20.36156210037399,1331,918
20.39488707926167,1375,917
20.428212058149356,1417,914
20.461537037037036,1456,910
20.49486201592472,1492,906
20.5281869948124,1525,902
20.561511973700085,1553,898
20.594836952587766,1576,894
20.62816193147545,1594,891
20.661486910363134,1607,888
20.694811889250815,1613,887
20.7281368681385,1614,887
20.76146184702618,1609,888
20.794786825913864,1597,890
20.828111804801544,1580,894
20.86143678368923,1558,897
20.89476176257691,1531,901
20.928086741464593,1499,906
20.961411720352274,1463,910
20.994736699239958,1424,913
21.02806167812764,1383,916
21.061386657015323,1339,918
21.094711635903003,1295,919
21.128036614790688,1251,919
21.161361593678368,1207,917
21.194686572566052,1164,915
21.228011551453733,1124,911
21.261336530341417,1086,907
21.2946615092291,1053,902
21.32798648811678,1022,897
21.361311467004466,996,893
21.394636445892147,975,889
21.42796142477983,959,885
21.46128640366751,948,884
21.494611382555195,942,883
21.527936361442876,942,883
21.56126134033056,947,884
21.59458631921824,958,885
21.627911298105925,974,888
21.661236276993606,995,892
21.69456125588129,1021,897
21.72788623476897,1051,902
21.761211213656654,1085,906
21.794536192544335,1122,911
21.82786117143202,1162,915
21.8611861503197,1205,917
21.894511129207384,1248,919
21.927836108095068,1293,919
21.96116108698275,1337,918
21.994486065870433,1380,916
22.027811044758113,1421,914
22.061136023645798,1460,910
22.094461002533478,1495,906
22.127785981421162,1527,902
22.161110960308843,1554,898
22.194435939196527,1576,894
22.227760918084208,1593,891
22.261085896971892,1605,888
22.294410875859572,1611,888
22.327735854747257,1611,888
22.361060833634937,1605,889
22.39438581252262,1592,891
22.427710791410302,1575,894
22.461035770297986,1552,898
22.494360749185667,1524,902
22.52768572807335,1492,906
22.561010706961035,1456,910
22.594335685848716,1417,914
22.6276606647364,1376,917
22.66098564362408,1333,918
22.694310622511765,1289,919
22.727635601399445,1245,918
22.76096058028713,1201,917
